StateUT,Year,Season,Scheme,Crop,Applications_Enrolled,Applications_Insured,Area_Insured_ha,Premium_Paid_by_Farmers_Rs,Total_Premium_Rs,Claims_Paid_Rs,Claims_Pending_Rs,Farmers_Benefitted,Number_of_Claims
Bihar,2023,Zaid,RWBCIS,Oilseeds,389,331,353.7,195054,781821,570987,71612,128,49
Bihar,2024,Kharif,PMFBY,Rice,398,357,460.39,270538,421148,1303650,74906,254,246
Bihar,2024,Kharif,PMFBY,Wheat,377,352,547.19,414727,898523,944517,16965,268,109
Bihar,2024,Kharif,PMFBY,Maize,426,408,628.51,381038,1159553,520115,46885,91,42
Bihar,2024,Kharif,PMFBY,Cotton,373,275,375.34,215409,289837,660309,18088,165,45
Bihar,2024,Kharif,PMFBY,Pulses,399,290,588.76,270630,754814,1248322,3438,191,87
Bihar,2024,Kharif,PMFBY,Oilseeds,385,244,572.53,351286,478388,796852,70818,192,141
Bihar,2024,Kharif,RWBCIS,Rice,380,229,206.74,160309,773710,238615,2398,50,28
Bihar,2024,Kharif,RWBCIS,Wheat,423,369,862.19,383523,574800,1545730,210548,282,258
Bihar,2024,Kharif,RWBCIS,Maize,407,384,286.07,148877,1028339,436274,31542,96,48
Bihar,2024,Kharif,RWBCIS,Cotton,386,273,388.13,233958,396141,666072,73788,220,46
Bihar,2024,Kharif,RWBCIS,Pulses,406,389,297.64,197872,462688,843507,91094,283,102
Bihar,2024,Kharif,RWBCIS,Oilseeds,393,350,247.77,192621,1082841,291346,35956,197,24
Bihar,2024,Rabi,PMFBY,Rice,385,337,445.47,257273,956585,1014694,7909,270,85
Bihar,2024,Rabi,PMFBY,Wheat,381,298,677.55,289320,1039045,502774,35902,266,30
Bihar,2024,Rabi,PMFBY,Maize,378,260,342.97,229121,1000345,367064,50777,160,34
Bihar,2024,Rabi,PMFBY,Cotton,396,321,472.77,237784,414195,1196974,97271,94,73
Bihar,2024,Rabi,PMFBY,Pulses,388,309,224.09,170396,353975,253651,15472,145,15
Bihar,2024,Rabi,PMFBY,Oilseeds,393,275,417.51,120440,732095,799268,85686,236,43
Bihar,2024,Rabi,RWBCIS,Rice,439,285,314.8,232024,1204077,833689,13758,246,73
Bihar,2024,Rabi,RWBCIS,Wheat,349,254,367.5,208704,1077505,791872,51557,196,43
Bihar,2024,Rabi,RWBCIS,Maize,369,261,155.07,93217,955987,140688,17145,208,8
Bihar,2024,Rabi,RWBCIS,Cotton,382,275,441.29,101631,145512,1015379,67697,104,129
Bihar,2024,Rabi,RWBCIS,Pulses,406,367,241.67,76100,462336,413775,22033,156,21
Bihar,2024,Rabi,RWBCIS,Oilseeds,404,308,693.01,263949,358505,1660426,150936,185,286
Bihar,2024,Zaid,PMFBY,Rice,371,251,378.54,199464,482971,1086812,137340,177,176
Bihar,2024,Zaid,PMFBY,Wheat,367,242,594.48,175438,662905,838397,80409,70,73
Bihar,2024,Zaid,PMFBY,Maize,382,235,546.95,382754,680324,1352731,6334,206,105
Bihar,2024,Zaid,PMFBY,Cotton,384,240,594.89,133003,787910,955893,136059,89,74
Bihar,2024,Zaid,PMFBY,Pulses,395,247,219.23,72069,810219,213277,18347,87,12
Bihar,2024,Zaid,PMFBY,Oilseeds,437,320,309.8,71213,339713,661606,52957,275,60
Bihar,2024,Zaid,RWBCIS,Rice,407,323,334.48,158199,628983,758134,106970,139,135
Bihar,2024,Zaid,RWBCIS,Wheat,396,262,529.48,418796,1364570,525649,69020,182,45
Bihar,2024,Zaid,RWBCIS,Maize,398,311,387.63,192245,771374,377045,50952,209,26
Bihar,2024,Zaid,RWBCIS,Cotton,366,236,155.15,80117,482902,305960,4095,118,40
Bihar,2024,Zaid,RWBCIS,Pulses,407,258,632.55,235154,658962,1343954,4979,198,103
Bihar,2024,Zaid,RWBCIS,Oilseeds,383,253,579.39,354363,604264,384716,39854,152,35
Chhattisgarh,2020,Kharif,PMFBY,Rice,311,301,256.28,143073,567258,414333,15795,234,34
Chhattisgarh,2020,Kharif,PMFBY,Wheat,329,220,147.8,92888,289122,328883,19258,108,27
Chhattisgarh,2020,Kharif,PMFBY,Maize,320,229,418.49,250872,537096,690616,20040,80,129
Chhattisgarh,2020,Kharif,PMFBY,Cotton,354,243,257.39,71154,710416,177048,3564,158,18
Chhattisgarh,2020,Kharif,PMFBY,Pulses,338,235,423.39,114215,650625,674405,27098,146,37
Chhattisgarh,2020,Kharif,PMFBY,Oilseeds,322,224,326.8,137376,1051190,464297,26008,105,26
Chhattisgarh,2020,Kharif,RWBCIS,Rice,335,243,519.0,115747,986544,924793,55245,133,62
Chhattisgarh,2020,Kharif,RWBCIS,Wheat,324,211,290.95,144833,548479,639115,40350,184,46
Chhattisgarh,2020,Kharif,RWBCIS,Maize,345,259,303.99,164668,1025781,211530,2303,206,26
Chhattisgarh,2020,Kharif,RWBCIS,Cotton,336,307,230.3,63993,620811,660028,41087,132,47
Chhattisgarh,2020,Kharif,RWBCIS,Pulses,361,353,192.43,51516,660983,490974,21007,130,29
Chhattisgarh,2020,Kharif,RWBCIS,Oilseeds,289,228,369.52,235447,590292,750758,65921,133,51
Chhattisgarh,2020,Rabi,PMFBY,Rice,314,202,191.73,95888,936330,432012,51131,90,39
Chhattisgarh,2020,Rabi,PMFBY,Wheat,322,200,336.37,266920,433749,207443,24256,75,12
Chhattisgarh,2020,Rabi,PMFBY,Maize,322,250,440.29,206830,395462,779200,61781,192,49
Chhattisgarh,2020,Rabi,PMFBY,Cotton,336,293,439.68,323807,1243677,280468,34525,66,27
Chhattisgarh,2020,Rabi,PMFBY,Pulses,329,290,149.85,45129,625925,342552,47100,201,23
Chhattisgarh,2020,Rabi,PMFBY,Oilseeds,322,207,324.81,196535,613983,755735,59158,52,96
Chhattisgarh,2020,Rabi,RWBCIS,Rice,348,327,240.38,190894,400300,127269,19041,130,8
Chhattisgarh,2020,Rabi,RWBCIS,Wheat,308,290,330.71,199138,387041,681920,34415,101,70
Chhattisgarh,2020,Rabi,RWBCIS,Maize,322,248,282.99,182996,1154215,451393,58300,148,61
Chhattisgarh,2020,Rabi,RWBCIS,Cotton,337,285,649.62,301593,1202770,1543934,113156,177,156
Chhattisgarh,2020,Rabi,RWBCIS,Pulses,283,236,144.59,30990,481014,192554,12659,91,26
Chhattisgarh,2020,Rabi,RWBCIS,Oilseeds,337,227,258.59,143539,215768,224620,2468,174,14
Chhattisgarh,2020,Zaid,PMFBY,Rice,341,291,423.11,247675,286036,868925,101388,160,84
Chhattisgarh,2020,Zaid,PMFBY,Wheat,315,271,607.56,246305,1016077,1156423,153140,154,91
Chhattisgarh,2020,Zaid,PMFBY,Maize,331,319,206.43,47904,985454,376671,34742,172,59
Chhattisgarh,2020,Zaid,PMFBY,Cotton,342,245,272.56,191529,263886,736665,28361,151,39
Chhattisgarh,2020,Zaid,PMFBY,Pulses,337,290,344.51,126213,1122896,818892,79193,130,143
Chhattisgarh,2020,Zaid,PMFBY,Oilseeds,342,314,177.99,74765,311835,288020,3127,273,35
Chhattisgarh,2020,Zaid,RWBCIS,Rice,359,349,561.23,425693,431041,1330450,180220,104,207
Chhattisgarh,2020,Zaid,RWBCIS,Wheat,323,260,404.28,115089,115878,1020949,13411,167,55
Chhattisgarh,2020,Zaid,RWBCIS,Maize,311,195,332.96,99342,835295,417225,29001,121,55
Chhattisgarh,2020,Zaid,RWBCIS,Cotton,341,290,236.8,145128,273316,370211,13728,210,41
Chhattisgarh,2020,Zaid,RWBCIS,Pulses,352,237,409.46,103442,494979,934922,92476,151,101
Chhattisgarh,2020,Zaid,RWBCIS,Oilseeds,321,280,422.18,263972,512915,553518,27749,61,55
Chhattisgarh,2021,Kharif,PMFBY,Rice,328,200,451.68,93862,1038612,778263,39917,169,145
Chhattisgarh,2021,Kharif,PMFBY,Wheat,331,226,306.86,181464,908595,153980,21639,71,18
Chhattisgarh,2021,Kharif,PMFBY,Maize,314,203,501.96,195328,310629,385243,41575,162,44
Chhattisgarh,2021,Kharif,PMFBY,Cotton,289,220,211.16,107600,361093,602090,81819,131,58
Chhattisgarh,2021,Kharif,PMFBY,Pulses,321,281,394.32,281559,1225653,528336,44435,75,66
Chhattisgarh,2021,Kharif,PMFBY,Oilseeds,323,301,245.79,116356,722055,548028,31490,243,41
Chhattisgarh,2021,Kharif,RWBCIS,Rice,324,251,537.51,305695,1137857,932596,16572,53,98
Chhattisgarh,2021,Kharif,RWBCIS,Wheat,338,240,357.91,162016,572538,385960,7895,81,66
Chhattisgarh,2021,Kharif,RWBCIS,Maize,310,259,293.38,229977,423694,400338,21489,53,23
Chhattisgarh,2021,Kharif,RWBCIS,Cotton,354,285,515.15,222663,869885,315231,2556,148,24
Chhattisgarh,2021,Kharif,RWBCIS,Pulses,353,322,296.27,129307,445909,444520,10035,178,26
Chhattisgarh,2021,Kharif,RWBCIS,Oilseeds,324,298,569.81,281641,539336,1545505,133768,106,171
Chhattisgarh,2021,Rabi,PMFBY,Rice,345,337,256.36,173720,568495,443641,58604,165,34
Chhattisgarh,2021,Rabi,PMFBY,Wheat,286,198,368.51,100514,214275,562863,54697,138,73
Chhattisgarh,2021,Rabi,PMFBY,Maize,296,206,454.58,326432,1098954,419161,51670,152,30
Chhattisgarh,2021,Rabi,PMFBY,Cotton,319,206,313.02,172523,531861,528502,28818,134,29
Chhattisgarh,2021,Rabi,PMFBY,Pulses,307,200,349.98,223050,1154962,418989,59719,49,30
Chhattisgarh,2021,Rabi,PMFBY,Oilseeds,329,301,240.99,53778,932659,310234,6002,159,22
Chhattisgarh,2021,Rabi,RWBCIS,Rice,334,315,482.74,141081,1062807,1155522,126825,219,144
Chhattisgarh,2021,Rabi,RWBCIS,Wheat,311,212,292.0,195407,979359,476881,56667,167,32
Chhattisgarh,2021,Rabi,RWBCIS,Maize,312,224,164.33,59799,269318,269225,36686,61,17
Chhattisgarh,2021,Rabi,RWBCIS,Cotton,337,320,523.82,219080,975618,598943,62306,73,34
Chhattisgarh,2021,Rabi,RWBCIS,Pulses,325,222,411.62,273046,746259,841482,57599,183,67
Chhattisgarh,2021,Rabi,RWBCIS,Oilseeds,348,263,252.52,112030,938247,269964,21237,201,26
Chhattisgarh,2021,Zaid,PMFBY,Rice,335,214,447.0,115943,387324,1179085,61278,189,60
Chhattisgarh,2021,Zaid,PMFBY,Wheat,314,272,381.34,99321,806843,220391,28768,81,32
Chhattisgarh,2021,Zaid,PMFBY,Maize,338,253,296.67,101073,581721,557613,52843,96,29
Chhattisgarh,2021,Zaid,PMFBY,Cotton,318,259,355.14,159425,892148,786525,98308,97,56
Chhattisgarh,2021,Zaid,PMFBY,Pulses,332,260,293.17,83585,297386,223919,22943,172,12
Chhattisgarh,2021,Zaid,PMFBY,Oilseeds,340,318,707.66,329764,915627,2080659,166132,265,333
Chhattisgarh,2021,Zaid,RWBCIS,Rice,309,254,541.64,429497,818348,335026,40262,158,42
Chhattisgarh,2021,Zaid,RWBCIS,Wheat,327,291,436.28,167151,1140893,941670,57664,115,59
Chhattisgarh,2021,Zaid,RWBCIS,Maize,313,250,269.99,155877,273815,577064,24522,50,84
Chhattisgarh,2021,Zaid,RWBCIS,Cotton,362,249,512.13,289427,1260331,734402,75070,61,67
Chhattisgarh,2021,Zaid,RWBCIS,Pulses,316,274,490.38,208099,1159040,272410,12411,231,28
Chhattisgarh,2021,Zaid,RWBCIS,Oilseeds,313,285,201.29,154150,949222,191855,20490,134,17
Chhattisgarh,2022,Kharif,PMFBY,Rice,303,237,296.87,124066,176334,657225,43004,80,38
Chhattisgarh,2022,Kharif,PMFBY,Wheat,345,246,436.94,162931,398938,1016448,6148,66,199
Chhattisgarh,2022,Kharif,PMFBY,Maize,306,299,322.21,93299,334295,915178,71406,136,51
Chhattisgarh,2022,Kharif,PMFBY,Cotton,322,218,273.72,106754,784057,335021,29006,54,43
Chhattisgarh,2022,Kharif,PMFBY,Pulses,322,239,436.93,154259,281292,282406,12938,74,37
Chhattisgarh,2022,Kharif,PMFBY,Oilseeds,342,277,348.72,175730,738560,447554,19812,198,25
Chhattisgarh,2022,Kharif,RWBCIS,Rice,309,290,347.94,184683,544226,283399,25052,165,35
Chhattisgarh,2022,Kharif,RWBCIS,Wheat,325,267,185.25,97963,800701,459746,43385,82,29
Chhattisgarh,2022,Kharif,RWBCIS,Maize,337,254,296.14,178172,394307,585522,80205,193,31
Chhattisgarh,2022,Kharif,RWBCIS,Cotton,399,333,441.45,316040,567854,1303414,119987,252,207
Chhattisgarh,2022,Kharif,RWBCIS,Pulses,309,187,399.01,83141,740259,563695,51704,129,56
Chhattisgarh,2022,Kharif,RWBCIS,Oilseeds,301,247,380.7,245674,755409,592413,35375,54,59
Chhattisgarh,2022,Rabi,PMFBY,Rice,318,293,405.09,85383,159893,719432,104617,201,119
Chhattisgarh,2022,Rabi,PMFBY,Wheat,309,284,492.85,289132,317469,1267278,149845,108,81
Chhattisgarh,2022,Rabi,PMFBY,Maize,311,210,180.02,72485,490934,318878,22804,82,59
Chhattisgarh,2022,Rabi,PMFBY,Cotton,333,237,529.43,343095,1200860,919862,18066,163,114
Chhattisgarh,2022,Rabi,PMFBY,Pulses,324,296,222.56,165108,1029338,369774,41287,188,22
Chhattisgarh,2022,Rabi,PMFBY,Oilseeds,324,251,597.86,294041,756660,1472338,181446,148,191
Chhattisgarh,2022,Rabi,RWBCIS,Rice,326,288,611.23,134284,602143,1293701,161072,68,73
Chhattisgarh,2022,Rabi,RWBCIS,Wheat,330,237,252.13,130733,182418,225994,27550,69,27
Chhattisgarh,2022,Rabi,RWBCIS,Maize,325,289,403.06,271630,889976,315495,7398,146,29
Chhattisgarh,2022,Rabi,RWBCIS,Cotton,341,254,213.75,71842,647343,333150,25732,81,22
Chhattisgarh,2022,Rabi,RWBCIS,Pulses,349,274,671.59,268599,863645,487231,44290,72,25
Chhattisgarh,2022,Rabi,RWBCIS,Oilseeds,339,294,493.76,232041,1090414,1427998,106893,251,104
Chhattisgarh,2022,Zaid,PMFBY,Rice,329,223,113.16,39029,548752,164071,11038,198,16
Chhattisgarh,2022,Zaid,PMFBY,Wheat,325,200,410.16,222475,983179,358749,30771,76,43
Chhattisgarh,2022,Zaid,PMFBY,Maize,317,308,344.12,95732,294814,677661,6510,248,35
Chhattisgarh,2022,Zaid,PMFBY,Cotton,313,190,338.47,151755,421813,344255,33773,93,45
Chhattisgarh,2022,Zaid,PMFBY,Pulses,337,312,229.3,153952,827468,180580,18821,159,9
Chhattisgarh,2022,Zaid,PMFBY,Oilseeds,305,227,547.89,218052,1180237,1508733,61190,173,76
Chhattisgarh,2022,Zaid,RWBCIS,Rice,313,249,271.38,56762,276891,326970,21757,80,18
Chhattisgarh,2022,Zaid,RWBCIS,Wheat,338,286,516.89,399935,402955,578830,80555,244,37
Chhattisgarh,2022,Zaid,RWBCIS,Maize,342,271,261.02,80585,890888,218629,15369,232,28
Chhattisgarh,2022,Zaid,RWBCIS,Cotton,330,237,319.71,123278,403913,936934,21554,169,187
Chhattisgarh,2022,Zaid,RWBCIS,Pulses,332,235,204.7,120979,833580,454450,21767,88,24
Chhattisgarh,2022,Zaid,RWBCIS,Oilseeds,359,330,463.53,210736,367498,725895,58516,71,62
Chhattisgarh,2023,Kharif,PMFBY,Rice,343,288,667.9,140806,697853,1648626,133869,123,234
Chhattisgarh,2023,Kharif,PMFBY,Wheat,353,329,549.99,332477,1136738,1181317,70534,184,69
Chhattisgarh,2023,Kharif,PMFBY,Maize,321,204,475.15,120984,769193,728398,44318,138,121
Chhattisgarh,2023,Kharif,PMFBY,Cotton,332,303,254.84,188187,844333,689250,50172,176,37
Chhattisgarh,2023,Kharif,PMFBY,Pulses,355,250,321.59,139139,426005,376726,48658,62,25
Chhattisgarh,2023,Kharif,PMFBY,Oilseeds,308,192,199.67,131992,1017007,210416,14631,102,12
Chhattisgarh,2023,Kharif,RWBCIS,Rice,342,292,640.86,131840,534730,1773970,196994,169,137
Chhattisgarh,2023,Kharif,RWBCIS,Wheat,319,270,360.92,226835,1088067,320032,21676,131,21
Chhattisgarh,2023,Kharif,RWBCIS,Maize,313,292,390.19,291320,1284483,298585,10438,253,15
Chhattisgarh,2023,Kharif,RWBCIS,Cotton,299,197,490.93,151206,653753,1286749,3938,123,141
Chhattisgarh,2023,Kharif,RWBCIS,Pulses,350,301,556.38,185217,220016,847436,36761,231,50
Chhattisgarh,2023,Kharif,RWBCIS,Oilseeds,325,269,579.51,263678,539124,673731,54187,138,58
Chhattisgarh,2023,Rabi,PMFBY,Rice,298,203,181.46,81231,309009,355597,19814,104,27
Chhattisgarh,2023,Rabi,PMFBY,Wheat,310,289,395.19,176751,212363,689583,57322,171,44
Chhattisgarh,2023,Rabi,PMFBY,Maize,308,279,668.02,188087,685736,691695,6233,119,97
Chhattisgarh,2023,Rabi,PMFBY,Cotton,339,221,114.58,78475,254669,230941,11671,135,24
Chhattisgarh,2023,Rabi,PMFBY,Pulses,297,199,269.85,160553,424359,143068,11136,124,7
Chhattisgarh,2023,Rabi,PMFBY,Oilseeds,332,271,638.42,444996,767974,697880,27493,150,43
Chhattisgarh,2023,Rabi,RWBCIS,Rice,327,286,604.01,225718,889843,946169,126189,226,73
Chhattisgarh,2023,Rabi,RWBCIS,Wheat,338,266,299.65,195432,415498,440883,57253,188,40
Chhattisgarh,2023,Rabi,RWBCIS,Maize,311,220,187.48,121112,373181,306608,17746,195,28
Chhattisgarh,2023,Rabi,RWBCIS,Cotton,296,244,414.49,187041,618884,263131,20388,135,36
Chhattisgarh,2023,Rabi,RWBCIS,Pulses,300,191,328.41,104398,355828,306712,44067,152,36
Chhattisgarh,2023,Rabi,RWBCIS,Oilseeds,318,250,134.81,81266,604424,370269,9130,191,22
Chhattisgarh,2023,Zaid,PMFBY,Rice,303,201,202.9,72628,628864,310138,44089,58,16
Chhattisgarh,2023,Zaid,PMFBY,Wheat,312,227,178.46,127551,436411,383178,32557,120,31
Chhattisgarh,2023,Zaid,PMFBY,Maize,340,290,664.57,155957,296610,1522915,99891,140,216
Chhattisgarh,2023,Zaid,PMFBY,Cotton,328,256,518.97,184213,664999,1546551,159291,202,138
Chhattisgarh,2023,Zaid,PMFBY,Pulses,342,221,200.26,88349,934093,273488,26855,154,20
Chhattisgarh,2023,Zaid,PMFBY,Oilseeds,320,233,155.59,123800,250982,105937,13960,96,7
Chhattisgarh,2023,Zaid,RWBCIS,Rice,318,222,263.31,117547,837963,468386,66293,51,37
Chhattisgarh,2023,Zaid,RWBCIS,Wheat,332,205,337.63,240453,482380,908471,2595,146,48
Chhattisgarh,2023,Zaid,RWBCIS,Maize,336,207,484.43,233581,262577,1077640,77887,59,131
Chhattisgarh,2023,Zaid,RWBCIS,Cotton,292,244,368.8,254568,1115576,752006,1439,168,67
Chhattisgarh,2023,Zaid,RWBCIS,Pulses,331,242,564.88,158384,829895,288597,40028,67,45
Chhattisgarh,2023,Zaid,RWBCIS,Oilseeds,318,216,360.77,168028,202203,468687,56976,147,30
Chhattisgarh,2024,Kharif,PMFBY,Rice,338,215,224.66,157053,1137523,389699,567,64,40
Chhattisgarh,2024,Kharif,PMFBY,Wheat,331,317,389.96,291515,1072036,931456,84770,202,64
Chhattisgarh,2024,Kharif,PMFBY,Maize,334,325,638.49,425341,1297803,663455,8340,175,52
Chhattisgarh,2024,Kharif,PMFBY,Cotton,347,283,439.82,98045,713259,1130385,26705,174,81
Chhattisgarh,2024,Kharif,PMFBY,Pulses,307,298,383.66,129084,300408,832160,76073,194,132
Chhattisgarh,2024,Kharif,PMFBY,Oilseeds,354,254,361.88,157070,1020647,1021642,46503,204,61
Chhattisgarh,2024,Kharif,RWBCIS,Rice,361,295,309.48,214920,220244,591741,30108,126,40
Chhattisgarh,2024,Kharif,RWBCIS,Wheat,349,322,331.4,169578,620114,175348,14645,214,13
Chhattisgarh,2024,Kharif,RWBCIS,Maize,340,212,155.37,86679,361658,108621,7000,125,11
Chhattisgarh,2024,Kharif,RWBCIS,Cotton,339,246,494.4,291309,928754,931237,1591,169,88
Chhattisgarh,2024,Kharif,RWBCIS,Pulses,365,300,301.31,97091,437475,509642,22633,168,68
Chhattisgarh,2024,Kharif,RWBCIS,Oilseeds,361,288,561.55,259228,889262,758901,34282,174,61
Chhattisgarh,2024,Rabi,PMFBY,Rice,331,244,162.94,37699,291156,111714,1739,188,20
Chhattisgarh,2024,Rabi,PMFBY,Wheat,336,312,458.64,175818,693456,667273,56481,87,33
Chhattisgarh,2024,Rabi,PMFBY,Maize,323,280,343.78,240634,694904,790314,12738,222,49
Chhattisgarh,2024,Rabi,PMFBY,Cotton,311,223,546.83,193632,649759,314455,18737,134,16
Chhattisgarh,2024,Rabi,PMFBY,Pulses,328,264,153.53,59724,635273,441627,56912,95,53
Chhattisgarh,2024,Rabi,PMFBY,Oilseeds,349,261,393.79,188468,441866,694082,3175,76,38
Chhattisgarh,2024,Rabi,RWBCIS,Rice,341,271,336.04,216567,1000754,809256,87717,93,80
Chhattisgarh,2024,Rabi,RWBCIS,Wheat,326,289,334.87,94748,493788,987795,33469,182,86
Chhattisgarh,2024,Rabi,RWBCIS,Maize,294,254,387.72,280424,569361,277461,38979,118,20
Chhattisgarh,2024,Rabi,RWBCIS,Cotton,344,300,231.25,86667,231377,584618,19525,211,31
Chhattisgarh,2024,Rabi,RWBCIS,Pulses,329,255,293.7,142560,745367,870814,122493,205,47
Chhattisgarh,2024,Rabi,RWBCIS,Oilseeds,326,306,393.49,305764,721550,788045,83904,265,91
Chhattisgarh,2024,Zaid,PMFBY,Rice,341,239,490.72,260736,921709,641495,46310,151,58
Chhattisgarh,2024,Zaid,PMFBY,Wheat,328,248,300.15,133356,542552,558414,45522,136,80
Chhattisgarh,2024,Zaid,PMFBY,Maize,327,211,499.08,280967,940457,750858,102377,136,45
Chhattisgarh,2024,Zaid,PMFBY,Cotton,320,291,642.5,194881,465844,780038,31698,232,142
Chhattisgarh,2024,Zaid,PMFBY,Pulses,295,199,191.78,130174,693300,98657,6353,97,15
Chhattisgarh,2024,Zaid,PMFBY,Oilseeds,337,294,575.34,115086,1069006,1458787,197808,62,77
Chhattisgarh,2024,Zaid,RWBCIS,Rice,345,219,433.08,336048,1014595,834287,118339,112,60
Chhattisgarh,2024,Zaid,RWBCIS,Wheat,326,205,307.96,188524,980430,602846,82191,176,101
Chhattisgarh,2024,Zaid,RWBCIS,Maize,322,233,366.68,273718,1120272,300219,4189,143,23
Chhattisgarh,2024,Zaid,RWBCIS,Cotton,314,299,390.26,286522,670470,914005,65252,85,48
Chhattisgarh,2024,Zaid,RWBCIS,Pulses,325,240,129.06,33597,529816,287147,14418,165,19
Chhattisgarh,2024,Zaid,RWBCIS,Oilseeds,338,320,473.09,222428,421808,600416,3813,206,69
Goa,2020,Kharif,PMFBY,Rice,328,226,189.41,125942,255648,309569,23539,154,21
Goa,2020,Kharif,PMFBY,Wheat,331,235,249.16,71661,360839,317533,24857,156,30
Goa,2020,Kharif,PMFBY,Maize,325,230,363.95,77969,157758,562275,79526,162,89
Goa,2020,Kharif,PMFBY,Cotton,334,277,592.94,262356,483857,1055468,86893,160,78
Goa,2020,Kharif,PMFBY,Pulses,337,323,225.13,80838,575893,589016,44633,234,83
Goa,2020,Kharif,PMFBY,Oilseeds,300,198,238.14,85473,435334,540771,29838,117,83
Goa,2020,Kharif,RWBCIS,Rice,330,279,544.27,177321,1061995,1110616,71422,91,58
Goa,2020,Kharif,RWBCIS,Wheat,327,238,504.4,311420,1077204,808555,86897,112,99
Goa,2020,Kharif,RWBCIS,Maize,303,259,410.0,289483,1051225,264755,39651,188,15
Goa,2020,Kharif,RWBCIS,Cotton,321,206,246.27,178756,380411,171307,20252,162,23
Goa,2020,Kharif,RWBCIS,Pulses,334,266,574.69,259501,453494,696600,52785,152,41
Goa,2020,Kharif,RWBCIS,Oilseeds,329,295,260.65,59960,933593,179558,6644,203,16
Goa,2020,Rabi,PMFBY,Rice,337,203,223.57,122258,498196,410739,54008,170,46
Goa,2020,Rabi,PMFBY,Wheat,311,298,744.18,253947,980926,1075398,1308,62,90
Goa,2020,Rabi,PMFBY,Maize,312,268,291.59,156274,457193,267632,16346,97,21
Goa,2020,Rabi,PMFBY,Cotton,296,195,359.18,234316,344710,599653,6375,121,67
Goa,2020,Rabi,PMFBY,Pulses,314,298,476.25,261842,663495,1368123,159493,119,77
Goa,2020,Rabi,PMFBY,Oilseeds,310,282,247.52,153632,444274,307848,13685,200,36
Goa,2020,Rabi,RWBCIS,Rice,294,202,254.48,123561,168131,744719,79990,86,76
Goa,2020,Rabi,RWBCIS,Wheat,310,203,178.21,127538,383792,258491,33782,135,26
Goa,2020,Rabi,RWBCIS,Maize,323,284,418.63,287979,1242616,1178222,160697,159,113
Goa,2020,Rabi,RWBCIS,Cotton,311,291,265.97,199721,1014901,783851,103498,115,119
Goa,2020,Rabi,RWBCIS,Pulses,288,240,506.07,374264,998017,260160,7271,65,25
Goa,2020,Rabi,RWBCIS,Oilseeds,313,229,196.56,115625,579897,341679,21920,199,42
Goa,2020,Zaid,PMFBY,Rice,314,254,598.94,255616,719291,432019,39465,102,58
Goa,2020,Zaid,PMFBY,Wheat,315,198,375.49,215630,404647,628415,67899,113,57
Goa,2020,Zaid,PMFBY,Maize,304,290,534.61,130898,591582,1457914,20658,259,76
Goa,2020,Zaid,PMFBY,Cotton,306,232,320.56,186100,960577,187359,16670,77,18
Goa,2020,Zaid,PMFBY,Pulses,305,221,157.95,45391,78828,264665,37891,62,14
Goa,2020,Zaid,PMFBY,Oilseeds,325,274,590.05,155863,660617,1323322,116483,215,218
Goa,2020,Zaid,RWBCIS,Rice,323,240,283.33,162206,1053201,493119,61003,116,75
Goa,2020,Zaid,RWBCIS,Wheat,278,206,241.94,152607,895428,151729,5033,81,11
Goa,2020,Zaid,RWBCIS,Maize,291,278,586.14,180761,587328,814181,96603,155,118
Goa,2020,Zaid,RWBCIS,Cotton,326,228,285.23,142231,485346,315112,18836,49,19
Goa,2020,Zaid,RWBCIS,Pulses,294,249,509.92,350977,844486,516763,57146,172,59
Goa,2020,Zaid,RWBCIS,Oilseeds,340,330,732.76,448991,1387740,1689582,48269,168,278
Goa,2021,Kharif,PMFBY,Rice,307,229,265.77,148091,1020295,164500,9511,71,11
Goa,2021,Kharif,PMFBY,Wheat,287,203,182.26,138848,157372,290603,943,109,23
Goa,2021,Kharif,PMFBY,Maize,304,225,415.02,277830,808580,819493,24661,90,110
Goa,2021,Kharif,PMFBY,Cotton,299,238,386.84,296694,492264,813985,99786,141,92
Goa,2021,Kharif,PMFBY,Pulses,300,214,425.69,97275,316570,964435,113222,111,62
Goa,2021,Kharif,PMFBY,Oilseeds,307,230,381.79,293532,362282,675190,33313,128,126
Goa,2021,Kharif,RWBCIS,Rice,303,245,343.29,127469,425511,500432,62722,215,43
Goa,2021,Kharif,RWBCIS,Wheat,307,234,375.34,127077,870579,686861,83354,175,84
Goa,2021,Kharif,RWBCIS,Maize,324,237,200.32,40380,491283,276658,23028,79,15
Goa,2021,Kharif,RWBCIS,Cotton,300,234,350.46,115319,387179,323917,34908,173,27
Goa,2021,Kharif,RWBCIS,Pulses,324,211,513.23,355473,559956,495479,9339,63,31
Goa,2021,Kharif,RWBCIS,Oilseeds,311,274,468.33,286534,304889,599202,57328,57,109
Goa,2021,Rabi,PMFBY,Rice,334,234,438.97,296513,603307,259033,36243,103,39
Goa,2021,Rabi,PMFBY,Wheat,313,214,222.34,76847,1068520,220897,19070,181,31
Goa,2021,Rabi,PMFBY,Maize,338,284,574.19,454538,634961,1386706,70473,92,123
Goa,2021,Rabi,PMFBY,Cotton,329,264,657.44,288922,904322,929035,54737,181,49
Goa,2021,Rabi,PMFBY,Pulses,315,199,183.54,92005,112016,207793,16127,42,23
